fixed acidity,pH,alcohol,quality
7.4,3.51,9.4,5
7.8,3.2,9.8,5
7.8,3.26,9.8,5
11.2,3.16,9.8,6
7.4,3.51,9.4,5
7.4,3.51,9.4,5
7.9,3.3,9.4,5
7.3,3.39,10,7
7.8,3.36,9.5,7
7.5,3.35,10.5,5
6.7,3.28,9.2,5
7.5,3.35,10.5,5
5.6,3.58,9.9,5
7.8,3.26,9.1,5
8.9,3.16,9.2,5
8.9,3.17,9.2,5
8.5,3.3,10.5,7
8.1,3.11,9.3,5
7.4,3.38,9,4
7.9,3.04,9.2,6
8.9,3.39,9.4,6
7.6,3.52,9.7,5
7.9,3.17,9.5,5
8.5,3.17,9.4,5
6.9,3.43,9.7,6
6.3,3.34,9.3,5
7.6,3.28,9.5,5
7.9,3.17,9.5,5
7.1,3.47,9.4,5
7.8,3.38,9.8,6
6.7,3.35,10.1,5
6.9,3.46,10.6,6
8.3,3.17,9.8,5
6.9,3.45,9.4,6
5.2,3.38,9.2,5
7.8,3.4,9.6,6
7.8,3.42,10.8,6
8.1,3.23,9.7,7
5.7,3.5,9.8,4
7.3,3.33,10.5,5
7.3,3.33,10.5,5
8.8,3.26,9.3,4
7.5,3.21,10.5,6
8.1,3.3,10.3,5
6.8,3.48,9.5,5
4.6,3.9,13.1,4
7.7,3.25,9.2,5
8.7,3.25,9.5,5
6.4,3.34,9.2,5
5.6,3.32,9.2,5
8.8,3.15,9.2,5
6.6,3.4,9.4,6
6.6,3.39,9.4,6
8.6,3.2,9.4,5
7.6,3.17,10.2,6
7.7,3.34,9.5,5
10.2,3.04,9.6,5
7.5,3.26,9.4,5
7.8,3.43,10,5
7.3,3.41,9.4,6
8.8,3.44,9.2,5
7.7,3.21,9.3,5
7.5,3.38,9.5,7
7,3.39,9.8,5
7.2,3.41,10.9,5
7.2,3.41,10.9,5
7.5,3.42,9.6,5
6.6,3.44,10.7,5
9.3,3.28,10.7,5
8,3.34,10.5,6
7.7,3.32,9.5,6
7.7,3.32,9.5,5
7.7,3.31,9.5,5
8.3,3.31,9.2,4
9.7,3.28,9.6,5
8.8,3.54,10.5,5
8.8,3.54,10.5,5
6.8,3.52,10.7,6
6.7,3.38,10.1,5
8.3,3.16,9.1,4
6.2,3.41,9.2,5
7.8,3.13,9.4,5
7.4,3.36,9.1,5
7.3,3.16,9.4,5
6.3,3.44,10.3,6
6.9,3.41,10.1,5
8.6,2.93,9.9,6
7.7,3.39,9.6,5
9.3,3.14,9.5,5
7,3.48,9,5
7.9,3.23,9.5,5
8.6,2.93,9.9,6
8.6,2.93,9.8,5
7.7,3.39,9.6,5
5,3.75,10.5,4
4.7,3.85,12.9,6
6.8,3.45,10.7,5
7,3.25,9.2,5
7.6,3.39,9.8,5
8.1,3.3,9,6
8.3,3.4,10.2,6
7.8,3.31,10.4,6
8.1,3.3,9,6
8.1,3.29,9.2,5
7.2,3.33,9.4,5
8.1,3.29,9.2,5
7.8,3.08,9.3,5
6.2,3.46,9.3,5
8,3.37,9.6,6
8.1,3.21,9.3,5
7.8,3.19,9.5,5
8.4,3.15,9.8,5
8.4,3.15,9.8,5
10.1,3.32,9.7,6
7.8,3.19,9.5,5
9.4,3.07,10.5,6
8.3,3.39,10,6
7.8,3.37,9.4,6
8.8,3.21,10.9,6
7,3.34,9.2,6
7.3,3.3,9,5
8.8,3.21,10.9,6
7.3,3.49,9.2,5
8,3.44,9.5,5
7.8,3.39,9.5,5
9,3.16,9.4,5
8.2,3.53,10.9,5
8.1,3.54,10.9,5
8,3.42,10.5,7
6.1,3.42,9.4,5
8,3.24,9.4,5
5.6,3.63,13,5
5.6,3.63,13,5
6.6,3.4,9.8,6
7.9,3.22,9.9,6
8.4,3.19,9.6,5
8.3,3.23,9.5,5
7.2,3.48,9.2,5
7.8,3.33,9.5,5
7.8,3.32,9.5,5
8.4,3.19,9.6,5
8.3,3.23,9.5,5
5.2,3.68,14,6
6.3,3.34,9.4,5
5.2,3.68,14,6
8.1,3.17,9.4,5
5.8,3.54,10,5
7.6,3.11,9.3,5
6.9,3.42,10.2,6
8.2,3.53,10.5,6
7.3,3.33,10.3,6
9.2,2.74,9.4,4
7.5,3.35,10.1,5
7.5,3.35,10.1,5
7.1,3.42,10.5,5
7.1,3.42,10.5,5
7.1,3.42,10.5,5
7.1,3.42,10.5,5
7.1,3.48,9.3,5
6.8,3.59,9.3,6
7.6,3.2,9.6,5
7.6,3.17,9.2,4
7.8,3.33,10,6
7.4,3.37,9.4,5
7.3,3.37,9.4,5
7.8,3.19,9.5,5
6.8,3.34,10.2,5
7.3,3.37,9,4
6.8,3.47,10.4,6
7.5,3,9.5,5
7.9,3.36,9.1,4
8,3.29,9.2,6
8,3.29,9.2,6
7.4,3.42,11.5,6
7.3,3.33,9.5,5
6.9,3.35,9.5,5
7.3,3.33,9.5,5
7.5,3.58,10.5,6
7,3.48,9.6,5
8.8,3.19,9.5,5
8.8,3.19,9.5,5
8.9,3.12,9.3,5
7.2,3.44,9.3,5
6.8,3.54,9.3,5
6.7,3.52,9.3,6
8.9,3.26,9.7,5
7.4,3.34,9.2,5
7.7,3.39,9.7,5
7.9,3.2,9.5,5
7.9,3.2,9.5,5
8.2,3.23,9.4,5
6.4,3.57,9.8,6
6.8,3.28,9.5,5
7.6,3.28,9.7,5
7.6,3.28,9.7,5
7.8,3.25,9.4,5
7.3,3.46,10.2,5
11.5,3.11,10.1,6
5.4,3.57,13,7
6.9,3.51,11.4,4
9.6,3.22,10.3,7
8.8,3.04,9.3,5
6.8,3.36,9.5,5
7,3.34,9.2,5
7,3.34,9.2,6
12.8,3.2,10.8,7
12.8,3.2,10.8,7
7.8,3.29,9.3,5
7.8,3.22,9.4,5
11,3.31,10.5,7
9.7,3.3,12.4,6
8,3.35,10,6
11.6,3.21,10.2,6
8.2,3.3,10.1,5
7.8,3.24,9.8,6
7,3.34,10.5,5
8.7,3.14,11,5
8.1,3.36,9.1,5
7.5,3.39,9.7,5
7.8,3.3,9.5,5
7.8,3.34,9.4,6
7.4,3.15,9.4,5
6.8,3.42,9.5,5
8.6,3.28,10,6
8.4,3.31,10.4,4
7.7,3.37,10.5,6
8.9,3.04,9.5,6
9,3.39,9.8,5
7.7,3.37,10.5,6
6.9,3.46,11,5
5.2,3.54,12.2,7
8,3.37,9.9,6
8.5,3.34,9.6,6
6.9,3.46,11,5
8.2,3.32,9,6
7.2,3.37,9,6
7.2,3.37,9,6
7.2,3.37,9.2,6
7.2,3.37,9,6
8.2,3.32,9,6
8.9,3,9.3,5
12,3.14,10.9,6
7.7,3.08,9.8,6
15,3.07,9.2,7
15,3.07,9.2,7
7.3,3.61,9.9,6
7.1,3.38,9.5,5
8.2,3.2,9.3,5
7.7,3.35,9.8,6
7.3,3.61,9.9,6
10.8,3.22,10,6
7.1,3.47,9.9,6
11.1,3.17,10.5,5
7.7,3.23,9.5,5
7.1,3.47,9.9,6
8,3.26,9.3,5
9.4,3.22,9.2,5
6.6,3.49,9.2,5
7.7,3.06,9.4,5
10,3.36,10.5,7
7.9,3.29,9.3,5
7,3.35,9.4,4
8,3.34,10,5
7.9,3.28,9.3,5
12.5,3.08,10.9,5
